"filename", "language", "JavaScript", "JSON", "Properties", "comment", "blank", "total"
"d:\ABDOU\BrokerCrmExpress\.env", "Properties", 0, 0, 5, 0, 4, 9
"d:\ABDOU\BrokerCrmExpress\app.js", "JavaScript", 75, 0, 0, 6, 8, 89
"d:\ABDOU\BrokerCrmExpress\controllers\clientController.js", "JavaScript", 77, 0, 0, 0, 6, 83
"d:\ABDOU\BrokerCrmExpress\controllers\commandController.js", "JavaScript", 50, 0, 0, 0, 6, 56
"d:\ABDOU\BrokerCrmExpress\controllers\commentController.js", "JavaScript", 16, 0, 0, 0, 5, 21
"d:\ABDOU\BrokerCrmExpress\controllers\companyController.js", "JavaScript", 17, 0, 0, 0, 5, 22
"d:\ABDOU\BrokerCrmExpress\controllers\establishmentController.js", "JavaScript", 15, 0, 0, 0, 5, 20
"d:\ABDOU\BrokerCrmExpress\controllers\expensesConfigController.js", "JavaScript", 17, 0, 0, 0, 5, 22
"d:\ABDOU\BrokerCrmExpress\controllers\expensesDayController.js", "JavaScript", 68, 0, 0, 0, 11, 79
"d:\ABDOU\BrokerCrmExpress\controllers\expensesUserController.js", "JavaScript", 14, 0, 0, 0, 4, 18
"d:\ABDOU\BrokerCrmExpress\controllers\fileUploadController.js", "JavaScript", 45, 0, 0, 0, 7, 52
"d:\ABDOU\BrokerCrmExpress\controllers\goalController.js", "JavaScript", 14, 0, 0, 0, 4, 18
"d:\ABDOU\BrokerCrmExpress\controllers\motivationController.js", "JavaScript", 16, 0, 0, 0, 5, 21
"d:\ABDOU\BrokerCrmExpress\controllers\productController.js", "JavaScript", 14, 0, 0, 0, 4, 18
"d:\ABDOU\BrokerCrmExpress\controllers\reportController.js", "JavaScript", 170, 0, 0, 0, 14, 184
"d:\ABDOU\BrokerCrmExpress\controllers\serviceController.js", "JavaScript", 23, 0, 0, 0, 5, 28
"d:\ABDOU\BrokerCrmExpress\controllers\specialityController.js", "JavaScript", 16, 0, 0, 1, 5, 22
"d:\ABDOU\BrokerCrmExpress\controllers\supplierController.js", "JavaScript", 14, 0, 0, 0, 4, 18
"d:\ABDOU\BrokerCrmExpress\controllers\userController.js", "JavaScript", 301, 0, 0, 0, 42, 343
"d:\ABDOU\BrokerCrmExpress\controllers\visitController.js", "JavaScript", 103, 0, 0, 0, 10, 113
"d:\ABDOU\BrokerCrmExpress\controllers\wilayaController.js", "JavaScript", 16, 0, 0, 1, 5, 22
"d:\ABDOU\BrokerCrmExpress\cronjobs\expensesDay.js", "JavaScript", 63, 0, 0, 0, 6, 69
"d:\ABDOU\BrokerCrmExpress\docs\users.js", "JavaScript", 0, 0, 0, 212, 2, 214
"d:\ABDOU\BrokerCrmExpress\middlewares\jwtMiddleware.js", "JavaScript", 13, 0, 0, 0, 3, 16
"d:\ABDOU\BrokerCrmExpress\middlewares\userJwt.js", "JavaScript", 19, 0, 0, 0, 6, 25
"d:\ABDOU\BrokerCrmExpress\models\client.js", "JavaScript", 73, 0, 0, 0, 4, 77
"d:\ABDOU\BrokerCrmExpress\models\command.js", "JavaScript", 72, 0, 0, 0, 4, 76
"d:\ABDOU\BrokerCrmExpress\models\comment.js", "JavaScript", 17, 0, 0, 0, 4, 21
"d:\ABDOU\BrokerCrmExpress\models\company.js", "JavaScript", 18, 0, 0, 0, 4, 22
"d:\ABDOU\BrokerCrmExpress\models\establishment.js", "JavaScript", 20, 0, 0, 0, 4, 24
"d:\ABDOU\BrokerCrmExpress\models\expensesConfig.js", "JavaScript", 16, 0, 0, 0, 4, 20
"d:\ABDOU\BrokerCrmExpress\models\expensesDay.js", "JavaScript", 63, 0, 0, 0, 2, 65
"d:\ABDOU\BrokerCrmExpress\models\expensesUser.js", "JavaScript", 31, 0, 0, 0, 2, 33
"d:\ABDOU\BrokerCrmExpress\models\file.js", "JavaScript", 11, 0, 0, 0, 4, 15
"d:\ABDOU\BrokerCrmExpress\models\goal.js", "JavaScript", 25, 0, 0, 0, 4, 29
"d:\ABDOU\BrokerCrmExpress\models\motivation.js", "JavaScript", 17, 0, 0, 0, 4, 21
"d:\ABDOU\BrokerCrmExpress\models\product.js", "JavaScript", 42, 0, 0, 0, 4, 46
"d:\ABDOU\BrokerCrmExpress\models\report.js", "JavaScript", 37, 0, 0, 0, 4, 41
"d:\ABDOU\BrokerCrmExpress\models\service.js", "JavaScript", 16, 0, 0, 0, 4, 20
"d:\ABDOU\BrokerCrmExpress\models\speciality.js", "JavaScript", 18, 0, 0, 0, 4, 22
"d:\ABDOU\BrokerCrmExpress\models\supplier.js", "JavaScript", 36, 0, 0, 0, 4, 40
"d:\ABDOU\BrokerCrmExpress\models\user.js", "JavaScript", 41, 0, 0, 0, 4, 45
